plylstSeq,title,tag,like,songIds
419259084,이곡만 있으면 감성힙합 드라이브가능!, #감성 #드라이브 #힙합 #4U #기분전환 #여행 #사랑 #신나는 #겨울 #봄 ,4696,32159598 32479576 33054789 31700065 33096515 33033530 31429050 32159599 30887095 33104785 30541392 31295312 32939046 30835309 33029109 32331774 32698835 32163199 7837787 30317183 32999764 30601144 32224280 31957991 32251835 30065883 30715020 32506646 32075416 30576771 32524975 30555692 30113169 32955254 32325552 31717827 8107687 31025164 2612765 5380328 33027125 32616834 32915886 32650472 31123619 32698837 32671283 31941909 7931720 31906851
453850046,들을 때마다 소오름! 돋았던 인생 드라마 BGM, #드라마ost #명장면 #명곡 #드라마 #OST #bgm #추억 ,4878,32491274 32345931 32378104 32614125 32377231 32315692 32254643 32290696 32361098 32298623 32398899 32282894 32271337 32075935 31938460 31486544 623902 30190630 4475933 2319548 2045749 7942948 31016243 32364000 31478849 5519401 8094482 31329245 855659 2759248 530043 3573088 1480112 848156 1798588 1093692 5519400 3118259 1335334 1928055 2357938 8152693 8203900 1785914 1668392 1565724 1175028 4454368 2170750 30985406
495479998,듣자마자 그 때 그 장면이 떠오르며 간질간질 설레는 ostꯁ, #추억 #설레는 #사랑 #청춘 #기분전환 #드라이브 #두근두근 #과몰입 ,4187,8067023 3890826 30157753 32271337 34657844 32311870 8102386 35756969 34373632 34632361 35691196 9619959 30159661 32508146 32491274 9611296 30414090 32100582 35451406 34701816 1093692 33979356 5650996 4311261 35199704 34702335 4378216 35754329 35127363 35316070 31994334 35522733 33918552 33898789 35356222 34726181 32794652 34495462 33979575 30440287 33494706 30143605 30143498 33592010 32473998 32651369 33580129 32944358 30590689 31329022
432303221,강다니엘의 선택, #강다니엘 #솔로가수 #Color_on_me #CYAN #MAGENTA #yellow #The_Story ,2523,36063669 35929486 35929487 35535827 34501179 30073300 31933185 35272015 35863189 35863193 35863198 35863201 35863202 34847378 35582028 32020717 35705034 35705035 35705036 35705037 35705038 35705039 35595136 35550675 34256568 3803401 108046 33658563 32489491 33623210 33077855 31788110 35313100 35205064 35205065 35205066 35205067 35205068 35205069 35205070 35205071 35205072 35205073 31551216 32993141 8301256 30130566 35002819
524418573,듣기좋은 2023 리메이크 음원, #발라드 #리메이크 ,8,36026650 36033536 36034505 36040619 36039047 36062335 36089620 36096374 36113646 36124331 36179185 36167580 36174149 36180700 36185710 36191613 36215478 36235518 36234798 36233319 36265974 36265430 36279659 36282456 36273211 36295928 36296186 36298726 36313154 36325563 36348051 36348506 36355355 36350347 36360520 36394038 36395487 36404430 36404853 36411068 36410735 36406352 36406418 36423074 36425300 36423849 36425456 36425359 36425745 36431073
438695292,《 듣기만 해도 설레는 》, #기분전환 #사랑 #설렘 #행복 #OST #크리스마스 ,3548,31713574 31713575 30667249 30667250 30659579 30720237 5794746 34657844 34771039 34845027 33375794 35199704 36061343 33979356 34087186 4141803 4143937 4665220 30141717 30141734 35361345 34140397 34772475 34772480 4774996 8098474 7983803 32996567 33013574 33079286 34930368 34559062 34559063 8197305 5694907 35521284 33527705 33517367 33526809 30370032 33391156 33391157 31628918 33485773 33494706 32083486 32100582 34343196 34265094 31124689
510216907,유튜버 때잉의 플레이리스트[상시 업데이트], #때잉 #추천 #유튜버 #감성 #밤 #신나는 #Pop ,1081,36136158 36409671 35613849 4048354 36361136 36206260 36322781 36236733 36238089 36233200 36261089 31838309 36194614 36099890 32614613 36074378 36068838 35911191 35765030 33371424 35457868 34451894 35957180 31436696 35840511 35878349 4365842 2928263 32160237 35743320 34886814 35779735 35705025 30436597 32603791 35663578 35773868 3986050 8028182 35457785 35683262 35705027 32673324 35676615 32995449 32602860 35622901 35640751 33902266
503162936,잡덕Infp 취향플레이리스트, #infp #인디 #밴드 #힙합 #랩 ,387,32272374 35454430 35456702 35451383 35417636 31284490 31686223 31842335 32496418 32569034 33360219 34736092 34851531 35400348 35382500 33877790 35381401 32075573 31830239 34038696 33674394 33039287 8109412 30715016 33340515 33134268 32860215 32482634 32939043 33340517 30880944 31429778 31485892 33742930 32830129 32254972 33453727 31485890 32953600 33864316 34329743 32374061 31618462 32697708 32431492 32115921 33646766 32072281 33094176 32833785
475022783,우리가 알던 '발라드'의 재발견 : Hidden Ballad, #발라드 #감성 #가요 #밤 #새벽 #새벽감성 #숨은명곡 #발라드명곡 #발라드모음 ,987,36464689 36443497 36430966 36393049 36371897 36369310 36334401 36325563 36314316 36295203 36279659 36265986 36242214 36216751 36212041 36177996 36134427 36132886 36100529 36088822 36081378 36046168 36025626 36013142 35992654 35975113 35960067 35920493 35897670 35891217 35849025 35826293 35828633 35796808 35779597 35774021 35750870 35730698 35720014 35707232 35692347 35655266 35643598 35581351 35544885 35499262 35484543 35484882 35336471 35331651
413424851,가사가 예뻐서 하루종일 생각나는 노래들, #밤 #새벽 #휴식 #힐링 ,6554,34819473 31649844 32814662 32074818 30378156 31033467 33967985 35192393 1881823 827580 31666410 8213793 35418221 622664 31477516 5579395 33939315 34094200 34752772 31385744 33661260 490173 81013 32081871 32997761 31324607 32091223 33997296 33333876 30176582 30973998 33027162 30839312 31314142 31893681 33333999 33660021 30616707 31104178 5671555 8249047 32491274 31341517 1907246 31329022 32055994 30942934 1868211 31666417 5702706
