plylstSeq,title,tag,like,songIds
523235480,IVE 멤버들의 추천곡들, #IVE #아이브 #이서 #원영 #레이 #유진 #리즈 #가을 ,683,33213267 32544401 33502105 33469725 32464068 36060021 35920683 35749250 35409647 8181398 34513924 30136682 33651670 35790774 35723567 35072232 4225822 35745727 35709952 33535734 33429059 32190209 33516171 31598143 35371796 31031536 35018129 34081816 35337708 31979492 35225797 32074560 30392907 30565630 31230094 30512672 4583488 34927767 35254425 32106047 31161291 31836326 4184827 31674790 35236328 34836243 35192383 35039563 897261 30118149
523324194,가을에 듣는 곡들 ༄, #가을 #단풍 #낙엽 #고독 #뉴진스 #아이브 #르세라핌 #NewJeans #IVE #LESSERAFIM ,673,354198 5406681 33618864 2425149 4252725 30669593 30635480 49829 30636089 34043999
523237139,2023 2 11 아이브 첫 콘서트, #IVE #아이브 #이서 #원영 #헤이 #유진 #리즈 #가을 ,690,36356992 36356993 36356994 36356995 36356996 36356997 36356998 36356999 36357000 36357001 36318125 36040385 35730693 35730694 35646683 35546497 35546498 34847378 34847379 34349913 34349914
512333525,"잠 못드는 밤, 무드등켜고 듣기좋은 감성 인디음악", #인디 #가을 #무드등 #센치 #공허함 #새벽 #비오는날 #위로 #감성 #버스 ,721,35722995 35006084 35006621 31324614 35013205 33617662 4644705 35557158 35553933 33111208 33149342 32226225 34077204 32908999 33521398 30226692 34056213 33343249 32476250 33000611 31219313 34319488 34225739 33149344 33198346 34943017 35192394 34965269 34431323 31537782 31671358 34563501 34173235 31790612 34187533
514101009,가을에 꺼내듣는 발라드 TOP100, #가을 #발라드 #추억 #탑백 #TOP100 #인기 #차트 ,5253,30962526 418168 31666417 30672529 30314784 3894276 35669445 1467722 31388145 32156286 1944399 104184 686651 837567 5466962 4543502 623902 36100714 30486509 519620 489055 3929471 5458267 4646573 1177475 3910821 3620493 8302 3549031 1798588 32052432 33043504 5398990 732519 1568562 2544949 19807 8199190 30669593 30072072 316434 732512 460396 9573 32031043 530124 32034629 9631530 420534 1264830
503955542,너가 찾고 있는 그 노래  ‘Ballad & RnB’, #발라드 #알앤비 #이별 #슬픔 #감성 #사랑 #새벽 #가을 #우울 #애절한 ,460,36468768 36464689 36440294 36447331 35644921 36410735 36390373 36394235 36382580 35807568 31565790 34055256 32931541 36108694 36334401 36350275 36348051 36338969 36291745 36273211 36257309 30276635 36405240 36133539 36124331 36113646 36100714 34544959 36075888 36062700 36046168 36040619 36062335 36033536 36013142 4032979 35957064 35975113 35966218 35923614 35942630 35920493 35897670 35903789 35912693 31742666 35898413 35891304 35890454 35780437
514695752,산책하기 좋은 가을 TOP100, #가을 #산책 #탑백 #TOP100 #인기 #차트 ,3336,35640751 4446485 34431086 34927767 33496587 33061995 30732377 30672529 32061975 33469725 30514366 33502105 31093710 30314784 35018129 32794652 31509376 3894276 1467722 33868791 31388145 31709523 33978183 8203900 32243273 34082381 4543502 8233373 8298724 31688205 30486509 31742666 32108211 33271200 1883446 5458267 33011180 3910821 32052432 33043504 5398990 4743560 5694902 33013877 33939313 8199190 30669593 31164090 30072072 8224585
433939049,산책길에 듣는 편안한 감성 뉴에이지, #산책 #바람 #공원 #외로움 #카페 #가을 #매장 #오후 #감성 #뉴에이지 ,42,30625836 8026113 30019079 358238 30615927 30574853 30457833 30286079 30618044 30438084 5574560 30613075 8049762 30243234 30574249 30291154 30043277 1705657 3657494 2642762 358125 3885084 2622168 5057112 3897860 3811079 5506333 5719269 1525557
422463961,빗소리와 완벽궁합의 힐링 뉴에이지, #가을 #뉴에이지 #빗소리 #힐링 ,38,8294284 8297764 9604120 4746428 9605581 4170237 7997098 9627264 5718650 8174755 8025485 8058549 8268925 8070707 9637899 8300094 7998989 8020253 9628263 4433068 9608199 3702066 8022070 8160522 8005697 5480252 5500606 729875 8050129 1908229 4840686 2642766 1093974 6680 8133327 5480251 3774420 2945882 3776118 7987135
515914344,널 떠올리는 중이야 : 가을 감성힙합/R&B, #가을 #가을감성 #감성힙합 #그리움 #추억 #이별 #사랑 #미련 #잔잔한 #센치한 ,339,33542479 35707666 35708235 31521709 33722789 35542812 32325552 32040674 35197792 35268789 31441819 35057041 31883723 31861769
483086564,90년대생들 미치게 할 추억의 2000-10' 발라드, #발라드 #추억 #회상 #가요 #2000년대 #2010년대 #가을 #감성 #새벽감성 #밤 ,4985,1563237 104788 2289924 1746411 732373 2949854 1467722 3436083 2119816 623902 2289927 3910821 538118 1884329 2654264 534252 2347151 2549955 2101157 1778667 3585793 4543502 1264830 1798588 445413 527016 4009738 2140853 1068643 2180148 2101367 711626 473438 313555 485716 851748 978136 487301 1560045 1095261 732512 1108584 4016085 1901874 1944399 418598 531431 519620 432309 420534
509936150,가슴 아릿해지는 사극풍 발라드 Playlist, #사극 #애절한 #발라드 #과몰입 #아련한 #가을 #슬픈 #감수성 #그리움 #비오는날 ,1808,848567 33878014 3775574 30437557 30006387 33468286 3788313 3391292 33727362 1884223 33858614 30399467 33448177 524216 1569356 1798753 34874817 32130395 32061973 7857094 30672393 33136303 30654620 35014542 2804028 2539090 852089 30524268 32945414 30019224 2138250 5442775 2720478 3992536 33979587 32075428 4733733 4843046 1476571 30299276 31213910 32420422 30008427 4144504 4042365 7877288 621079 81799 1671661 33305505
499356701,오래오래 듣고 싶은 짙은 가을 감성 발라드, #발라드 #추억 #드라이브 #가을감성 #선선한 #가을 #쌀쌀한 #애절 #가을밤 #외출 ,2560,36100714 31388145 32318763 32082258 30669593 5398990 1560045 5458267 31373277 32091434 30048640 2140950 32924578 4646573 7926120 30859640 32052432 32399019 3968836 3940684 2347156 32073454 32974275 33618864 34097306 30072072 7953962 3922575 5408681 30461396 3910821 2289926 31967064 638570 30651723 7921208 32031043 32135659 32298623 30623495 30636089 33016550 35662924 31314142 5439395 31363346 827216 30699142 33516934 30672529
426571097,늦은 밤에 혼자 듣기 좋은 발라드 노래, #가을 #발라드 #밤 #새벽 #감성 #잔잔한 #새벽감성 #휴식 #가을감성 ,6919,34944250 34190822 19807 34569071 833034 5458267 4543502 851364 30314784 32573341 3815039 418253 111209 30672529 4200513 34466940 8302 30290580 32143487 5576417 30011624 8203900 30492279 30383758 30120986 5578569 32450261 32461339 30890388 32156286 3910821 421409 32906021 3765856 5639931 32979576 30775077 31565593 32653089 30550388 31706215 31984204 32993708 32974275 5439395 1046278 31417922 1890405 7857091 32577266
422704801,가을이 오면 생각나는 감성 노래 모음, #가을 #감성 #쓸쓸 #바람 #외로움 #가을감성 #선선한 #쌀쌀한 #슬픔 #발라드 ,13327,33772329 31524320 30669593 30672529 30962526 30709103 4383833 5398990 4543502 3910821 3953192 30690946 31388145 32031043 33955533 5408681 4252728 4743560 1698475 30072072 30667988 32226962 31455159 32156286 33013877 30038185 5610945 5439395 7886210 3968836 4367874 3585793 30486509 3550136 30651723 638570 30011624 9631530 31373277 33979638 33008836 32168238 33507462 32028531 30035553 30859636 30702937 7858989 4038239 3906383
525047676,IVE (아이브), #IVE #아이브 #안유진 #가을 #레이 #장원영 #리즈 #이서 ,5,34349914 34349913 34847378 34847379 35546497 35546498 35646683 35730694 35730693 36040385 36357000 36356992 36356998 36356994 36318125 36356995 36356993 36357001 36356996 36356999 36356997 36427843
504792769,찬란한 계절 사랑과 이별의 모든 날 모든 순간, #사랑 #연애 #봄 #여름 #가을 #겨울 #감성 #윤하 #이별 #발라드 ,133,36431069 35963098 35874233 35848967 35695787 36296186 36405645 35669445 36393049 35932815 36242216 36467863 35931536 35959870 35891304 36215517 36082135 36025626 35936071 35918463 35929616 35730689 35859562 35708237 35848888 35869352 35828607 35828633 35695016 35795286 35707232 35537291 35493838 35534655 35504741 35411201 35383398 35359429 35255621 35222505 35177018 35060828 34978706 34827789 34810973 34779651 34770134 34774431 34726070 34695599
520384999,대형신인이자 4세대 대표 대상 걸그룹 *IVE(아이브)* PLAYLIST, #아이브 #IVE #대상돌 #신인상대상 #안유진 #장원영 #가을 #레이 #리즈 #이서 ,50,36356992 36356993 36356994 36356995 36356996 36356997 36356998 36356999 36357000 36357001 36318125 35546497 34847378 34349913 35546498 34847379 34349914 36427843 36040385 35646683 35730694 35730693
464364666,펑펑 울고 싶은 날 들어요. 이별을 노래한 잔잔한 발라드, #이별 #발라드 #가을 #슬픈 #기분전환 #매장 #매장음악 #카페 #휴식 #인디 ,2584,31984206 30810055 4616190 30690674 30051511 30868628 4833732 30755375 30140001 31988547 8298724 5549391 31414789 31412486 30849733 30883184 30736685 7935505 31278783 5620735 30120986 4833735 30034441 31595599 8284955 31883558 32007215 31034302 7948056 3620497 30043155 5506296 32028159 8235260 31582380 32000761 3620493 30844886 5458267 31172274 866706 31375214 30868631 30149376 30301700 31388145 30142569 31960759 8217302 3417570
460839330,"살다가 한 번쯤 겪는 이야기, 이별 발라드.", #발라드 #이별 #감성 #추억 #가을 #잔잔한 #비오는날 #슬픔 #눈물 #sweetmind ,5503,34622559 34598904 34598944 34513916 34465082 34305937 34260339 34312304 34298108 34190821 34154224 34097257 34063298 33966158 33964499 33976349 33832659 33659368 33618271 33632966 33624574 33795397 33628470 33507460 33408379 33463209 33421275 33411426 33406812 33346996 33265859 33161013 33164083 33720891 33218129 33266120 33296089 33382262 33391755 33403026 33303943 33280716 33228184 33227608 33228736 33223396 33227343 33167083 33152647 32974583
515934171,꼭 들어봐야 할 발라드 명곡 100선, #발라드 #명곡 #감성 #가을 #인디 #새벽 #이별 #사랑 #슬픈노래 #이별노래 ,61,485716 35527167 35643794 2738244 31703498 31324607 4543502 32298623 32080223 837567 2535056 32156286 3910821 8083210 31406357 538118 30962526 30669593 32491274 32224135 33061995 31314144 1798588 732373 2347151 8060956 35484543 33107649 33496587 35655266 33059244 445413 2425149 32794652 35689984 34657844 35557203 33014015 32224409 3620493 3758104 732519 34431086 3422254 33248758 34787226 420534 34908740 1563237 8203900
401508804,PLAYLIST l 여자들 취향저격하는 달달한 노래, #달달 #사랑 #힐링 #명곡 #가을 #봄 #설렘 ,18403,33517367 33180359 33453441 32621521 31602252 33410939 33210835 33347390 33177639 33293837 33011180 31923316 32118816 32092551 31986237 32153605 33304842 31868918 33333967 33221521 30099931 32081870 32083482 31918207 32091559 32071824 31867659 30894300 31736951 32280902 31779536 32036140 31788795 31774187 31770213 32061976 31749294 31899298 31885866 32042705 31726259 32090698 31726952 31695072 31678594 31686915 32095592 32075432 30198630 31475818
100123440,♩가을에듣기좋은 명품 리메이크, #가을 #잔잔한 #리메이크 ,5455,5667586 32081478 35707523 35709043 35668510 32620040 34997081 30777979 34535888 8026845 34942330 30660281 34859153 34827609 34752959 2605839 854323 34726067 34701996 34662292 34592758 34533089 34378248 34368534 34365739 34359752 34310036 34300598 34298679 34215888 34209613 34194593 34174456 34095149 34063179 34054053 34022599 33975400 33955533 33950319 33878014 33772754 33754777 33740412 33723640 33720891 33715522 33699116 33677275 33667950
483955249,이 미운 세상에 너만이 좋았어, #감성 #사랑 #인디 #노을 #카페 #설렘 #가을 #겨울 #휴식 #잔잔한 ,1551,35663005 33081239 35636896 33311299 33297381 35644241 30567961 35472932 30717174 35331587 35224398 33646770 34631250 34626600 34809882 35198093 32936122 31646379 33467980 32431492 30619341 33245721 34187533 930739 33297386 33421191 2603554 34187532 30117192 33904491 30944695 34748910 31842744 1844278 34689425 31110771 33188505 33129963 31063366 33245716 34071577 33819323 34367511 34367166 5385973 34428223 33340515 34451918 34502757 34513479
483759285,"바람이 솔솔 부는 저녁, 노을을 바라보며 들을 플레이리스트", #저녁 #버스안에서 #창밖 #바라보며 #하늘 #노을 #위로 #가을 #신나지만 #위로가_되는_노래 ,84,33816658 34183063 33865951 33979731 33901868 33939890 33810525 33694275 30257703 33660018 33729836 33660019 33579401 33520259 33507852 33660017 33307010 33507090 33456222 33437580 33429070 33404031 33396734 32573882 33351887 32190200 32441419 33188363 33119303 32703195 4184832 30622401 32918760 30144618 32859501 33061623 5454537 31705614 31773522 32962245 30208019 30614272 32243273 3929471 32243275 31358509 31363760 32357931 30072072 32249644
520166585,"[playlist] 어떤 장르보다 더 깊게, 감성있는 인디", #한국인디 #가을에 #감성_자극하는 #생각많은밤 ,14,35336632 32818944 31221130 30932739 30806580 36298734 2720266 32341976 34431322 32711456 32050011 31469283 30117197 32030964 34720940 32374061 34547880 35200856 3482051 32651484 30755108 32596781 32158963 30388627 32833765 33520259 33146542 30193472 31399734 32922505 33049986 33742930 33379903 34811932 30978974 31309962
515643339,2012-2014, #기분전환 #가을 ,31,4562881 4383773 4400561 4503810 4693165 4633162 4454382 4471542 4193337 4771771 4635740 4382254 5473905 4840271 4764928 4671151 4818649 4721314 4516940 5456521 4105654 4117691 4014340 4064020 4262252 4030174 4099280 4085875 4734486 4756304 4308010 4212184 4152253 4294284 4184826 4001331 4054983 4148967 4024692 4138606 4163116 3853978 3763493 3837683 3715676 3663978 3783041 3815739 3630755 3713013
433179875,♡ 가을&발라드 2000년대 명품발라드 100곡(소장용) ♡, #가을 #발라드 #2000년대발라드 #추억 ,7373,623902 460396 711626 89806 665226 418253 2043348 444956 1576735 19807 866705 905857 32574 499229 26378 492854 505376 111209 8302 1116679 9573 483377 3743 1094161 432309 537750 984646 105006 111413 432357 104099 104184 10435 473438 445413 429656 316434 420534 105899 91380 434507 1490825 1622996 19091 62619 2025249 527575 485716 519620 105644
502038680,추억의 싸이월드 탑골 발라드 남자편, #가을 #싸이월드 #추억 #발라드 ,22,517488 1649190 1773276 83443 159405 159881 848004 1778667 1521180 1670947 2546258 1632405 3793378 851719 1890405 978136 419338 469788 2194773 500796 4312920 425626 1623005 489055 505376 111209 32574 2019681 1804274 1454597 665231 108188 3910821 31532642 485716 898497 499229 316304 2025250 521068 91336 490201 422511 527583 1107022 2347066 433351 83093 1177939 420037
439526163,나만 알고 있을것 같은 감성발라드 “기억갈피”, #추억 #사랑 #첫사랑 #아쉬움 #카페 #이별 #가을 #밤 #감성 ,121,36062701 36062700 35744813 35720413 35668991 35695016 36242630 34626916 34145223 34145219 34145217 34145220 32924578 34535909 34695599 34701996 5445245 30021839 34716057 33177639 33293837 34514012 504317 34810559 34840158 32688861 33378954 33340007 33391719 32970603 33571775 31677968 32998920 33524147 33483326 1650193 32605887 32378579 32091664 33062458 2530643 32939130 32922155 33192099 32906358 32996354 8140402 30944140 31010490 33203572
514485341,가을의 한 페이지 ; 낙엽 내음 가득한 발라드 명곡들, #가을 #발라드 #감성 #힐링 #여행 #위로 #기분전환 #휴식 #추억 #드라이브 ,1423,3968836 5408681 3910821 31314144 7942948 30636089 3585793 612068 33618864 35662924 35774019 9631530 31388145 837567 2101157 1797707 4543502 3929471 30673957 31334193 3620493 4252726 9048 4067772 5379383 732519 30486509 35644157 926203 30278209 26378 30035553 32052433 5466962 2347151 35669445 30072072 35414734 2194773 665226 35643794 80238 30849733 30851703 1590153 3968837 32799210 32090955 30669593 30709103
514580058,‘나 가을타나봐?’ 요즘 듣는 가을 감성 발라드&인디 플리, #가을 #감성 #발라드 #인디 #새벽 #밤 #산책 #잔잔한 #퇴근길 #드라이브 ,1282,32031043 31804010 30669593 30690674 32639386 31952592 30637776 34657844 34171026 34599917 33868791 34907218 7877918 32061975 9646572 31901475 31899300 33043504 31524320 33061995 34431086 31788850 31666417 31703498 3910821
503980603,선선한 가을 바람이 불 때 챙겨듣고 싶은 노래 모음, #가을 #선선한 #바람부는날 #감성 #잔잔한 #드라이브 #산책 #센치한 #국내 #발라드 ,2612,30290580 3929471 32794652 33011180 32941033 4407285 4821175 3472354 30650900 31035445 32243273 30181278 30962526 5458267 30672529 30678113 7886210 32061975 5694902 31624517 33013735 30636089 32091434 32090955 32957209 30669593 30648772 31314144 30709103 5408681 4383833 3910821 3585793 612068 32954912 33618864 2064849 30278209 31666417 30667988 30290011 5380328 1890405 30434161 32031043 3849504 33955533 4786735 30072072 31570736
512030827,자꾸 듣고 싶은 멜로디의 미디엄템포 발라드, #기분전환 #발라드 #미디엄템포 #노래방 #멜로디 #출퇴근 #산뜻한 #가을 #작업 #외출 ,614,35383397 34657844 2093361 33625988 33439096 1645081 2654264 526407 1884329 33040923 30414090 2680287 30536432 2012251 4047160 3059678 1656571 2682148 4027904 3156359 3459504 1615772 866705 1645082 31914848 1944399 1941619 1500196 905857 3550135 1173448 34861720 3536905 1314788 30087592 4080846 1668465 711627 1114170 1560050
450689939,동료 가수들에게 선사한 작곡가 김동률의 주요작들, #추억 #가을 #1990 #가요 #발라드 #명곡 #감성 #회상 #작곡가 #김동률 ,984,61245 30085008 1570834 63699 3714477 10837 38887 75834 63702 1839665 2782367 3714474 420592 64475 1620563 3426559 3714475 2277092 3407152 75838
417879902,공간에 발라드를 입히다! A Rough And Deep Voice Man, #발라드 #이별 #사랑 #가을 ,268,35102484 34701848 35817383 35829148 35754709 34194593 35757406 35707232 34598904 34279689 36391318 34753794 34760050 35388184 36404853 35537291 34469695 35613554 35608492 34394402 36222209 35456666 34571873 35581351 35586584 33228700 32715812 32550314 32377231 35861274 35963098 35106606 35336605 35222505 35739082 35383370 31083516 32767833 32847945 4446485 5454381 34701996 34752809 31393958 35494406 33907333 36032726 35543580 32486613 34430968
514474494,트렌디 그 잡채 ☆힙앤비☆ 들어보실?, #중독성 #트렌디 #홈파티 #운동 #매장 #카페 #분위기 #선선한 #가을 ,53,36472106 36470840 36464964 36455866 36443894 36428867 36400799 36395641 36395670 36392260 36372174 36335275 36322390 36293235 36286541 36185374 36115710 36037065 36009973 35981153 35964679 35956073 35758489 35730675 35729043 35717407 35717273 35691063 35660215 35646893 35577882 35644038 35623980 35615807 35610983 34767309 35503550 35044101 35547029 32521382 32999764 35313136 35563302 31886938 35539984 34083631 35566466 33930392
499738440,발라드들, #발라드_감성 #가을 ,15,531431 9828 2170750 516205 530124 8302 111209 91380 459757 32574 489252 10288 10289 1143064 1456783 600126 91329 1134490 612393 34187 104718 103868 418645 523274 1521180 1521182 315876 499234 2354645 517488 104099 708215 90731 775217 111615 519620 601953 537749 1568642 993962 711626 1670941 53730 1264830 1368869 1657561 503497 527583 488408 106240
516449571,요즘 자주 듣는 발라드 best 30 pt.16, #발라드 #가을 #힐링 #새벽 #밤 #드라이브 ,84,30833272 35720014 32600245 35581351 31992573 3610384 1959667 35774024 35668991 35694868 35484543 34943312 32339065 32273348 31211213 31532643 30085008 35669445 32009432 3714473 35145138 31181342 34724346 32224383 30669593 35553933 35543942 32442727 2633352 3948834
