plylstSeq,title,tag,like,songIds
101614141,심판에게 고한다!, #이별 #슬픔 #운동 ,8870,4284164 1469342 4313581 4079683 104935 3026176 1077757 2748528 3697385 2145529 1732317 66475 4314605 4365996 4447522 2237415 930100 884622 3779736 4300699 1937246 1266869 443525 2116063
100098748,[OST]잊을수 없는 순간… 흐르는 음악, #OST ,939,932655 1794087 1559627 1794082 1794102 1559621 1559625 497372 1559618 1794098 1794081 1794079 1559613 497370 1794094 1794092 1559610 1559612 497371 1794086 1559617 1794089 930992 1559614 1559620 932648 497374 1559623 497380 1559615 497376 1794096 497373 1794084 1794088 932659 497367 932657 1559629 1794083 1559611 932650 932662 932661 1794103 497375 1794085 932656 932649 1559628
482195708,매년 가을이면 떠오르는 아련한 감성의 Music ♪, #가을 #감성발라드 #발라드 #감성 #추억 #아련한 #초가을 #OST #드라이브 #기분전환 ,2335,36431069 35669445 7886210 31343875 35828604 30709103 3929471 31314144 34171029 35707232 7926120 35724027 35831250 35708019 34097306 32127914 5408681 3542874 1757000 1467722 511813 35662924 1590153 30636089 30486509 2312253 8114712 3968836 35643013 4586092 30468654 2064849 32090955 423629 993956 3931560 30278209 5458267 33088701 1890405 5465066 3403988 4162725 3552165 8200966 19811 3815039 665226 32799210 33996404
500510658,노래방에서 부르고 싶은 노래, #친구와함께 #노래방 ,32,905583 4342898 32187544 31784487 4762446 31388145 31338894 1370967 3436083 31151836 3689468 1683050 3707405 3363619 30117119 4384925 3457988 4064020 31524320 31093710 9620469 32583036 30163110 30657307 9620473 30414090 8155478 32846393 30829858 32594046 9620475 32594045 5458267 5459423 33618864 1590153 2144649 30105590 3910821 32156286 30699142 1459885 33727889 4230002 31853557 4262078 4355840 33716984 33742379 33742378
446586218,듣다보면 '우와!' 하고 제목을 보게되는 팝, #매장음악 #드라이브 #팝 #카페 #기분전환 #매력적인 #여행 #분위기 #러블리쏘 ,37665,35806363 35552939 36078238 33639154 33798796 35457785 35724122 34855217 32761922 31882578 32962946 33683773 35762289 35660049 35782015 35553895 32611356 34623694 36074378 31678774 356530 34554398 34725290 5506252 34547550 33830711 33939890 34986990 32861541 35656484 35455441 35643105 32571650 34836243 30292505 33064340 35836839 35306285 34725419 33841966 32926215 33824788 34958296 34650495 34883791 33810525 34573826 33278824 33865951 33680098
457763335,파고드는 드라마 속 발라드 감성, #국내드라마 #감수성 #OST #잔잔한 #발라드 #감성 #센치한 #명작 #드라마 ,1381,36082093 36282450 36233413 36081371 35915187 35980921 35829148 35845123 35706418 35005213 35616346 34907218 35202515 34715216 33544690 33343616 31615347 32982643 32378104 32334378 32254643 33538739 32364031 33013550 31299371 34154251 33338016 9646401 31087327 32981678
501077522,내가 좋아하는 뮤지컬 넘버 모음집, #뮤지컬넘버 #뮤지컬 #뮤지컬넘버모음 ,8,30308931 3898846 32860875 35064242 35064239 35062636 2667285 2667288 31622576 2943876 8182538 30308368 30308361 5711141 32090032 31980849 5385244 32090042 32090037 32090046 2582562 2582553 31980839 31980844 30420286 4371639 4371654 4371637
496003843,칠월도야근, #야근 #비지엠 #브금 #사무실 #라디오 ,39,30966419 32030960 33718636 33728208 33743155 33666746 33731480 33725776 33725775 8295867 4646575 33701827 33701825 33690424 33649710 33668958 33660674 33667412 33666269 33660696 33632153 33639577 33639909 33625988 33077234 33189248 32697991 32057802 33077590 33142705 33055516 32996570 33109772 33483031 33338706 33293837 33263148 31624517 33214850 33026570 33013574 32813419 32909167 33013605 32939046 32715812 32871146 32268915 31975868 32578498
431824848,쾌감과 감동을 동시에! 스포츠 작품 OST, #스포츠 #사운드트랙 #OST #스코어 #운동 #영화 #스트레스 #감동 #휴먼 ,451,36343205 35806716 36357007 36377459 3566567 1146981 539088 3666634 35229826 11776506 3368127 1330344 5438 3793257 1369516 4285562 2104880 7980666 3654187 3659453 620527 2228949 30517845 6002939 677853 3859947 2202163 2047251 32845611
430392502,사계절 내내 듣자 *설렘 가득* 밤산책과 함께, #여름 #기분전환 #휴식 #새벽 #밤산책 #저녁노을 ,334,36199948 36315182 35846578 35846579 36206259 34431936 34431935 35060827 33855085 33866356 33009489 35003357 35279538 35689023 35121494 36215430 35888875 34093965 32870322 34047767 33548514 34603517 34603519 35268786 34753327 35730708 34752700 34603526 8138923 35729107 36140778 36140783 34864406 35861036 35985167 35945927 36001290 33241149 35844923 35844956 35844924 35849975 30526548 33859545 35668506 35505766 35518590 35505325 33813376 31617588
473050548,뮤지컬노래를 듣다, #뮤지컬 #뮤지컬노래 #뮤지컬음악 ,12,2667280 1587905 2223248 33596896 33453933 1326436 3597501 1925021 8616684 7847895 7847884 30764254 8181586 7886513 32676219 31408544 8617059 31980836 4087987 32320951 2667278 32156417 8154750 32320935 4297064 3527648 8062947 8107027 8240140 2667279 3527640 2582551 3527644 32322992 8181590 30764255 30912909 8182538 32320941 4297061
408321562,슬픈 감정이 가슴에 박히다..., #이별 #슬픔 #비오는날 ,385,8071063 8245686 8112458 31004503 8150487 30937836 30163798 30805546 30660684 8086947 7866646 1574301 3968900 3525296 3747215 5756876 7891646 7891046 3940684 4103905 7886210 2686250 7879488 4708267 1790687 7877918 7876540 5831542 5717249 3132763 2012252 3009227 4105055 4481297 2586659 7842761 25597 5721554 7861392 537210 7855347 7868938 521710 4324749 4754314 5483038 3634649 5727467 5690594 3118475
