plylstSeq,title,tag,like,songIds
436119495,밤 거리를 걸으며 듣기 좋은 노래:),이별하고 추억 위로 잔잔한 새벽 인디 발라드 감성 기분_전환 산책해요,10834,"['36243156', '34547880', '35963069', '35869352', '35869172', '35553933', '35643576', '35720014', '33043504', '35586614', '35225552', '33722789', '34694005', '34495462', '34373632', '34513916', '34036343', '34056810', '34052586', '33462463', '33795397', '33751633', '33608820', '33439096', '33411344', '33351872', '33333876', '32601161', '33099359', '30707718', '33225616', '32742805', '33232393', '32482640', '33206244', '33197356', '32274770', '33013199', '32321303', '32020205', '33134418', '31873975', '32976760', '31240961', '32960480', '33087880', '33115654', '33115656', '33055516', '31817703']"
523770321,"[2011-2014] 그때 그 시절, 추억이 새록새록 떠오르는 노래 모음",추억 기분전환 2010년대 드라이브 산책 힐링 감성 휴식 회상 그리움,1234,"['4192787', '3170749', '4300699', '4129672', '3890826', '4681146', '4433490', '3681993', '4221128', '3946867', '4282578', '4172962', '4671153', '4082435', '4583481', '4153481', '3795586', '3418964', '3706380', '4026975', '4762446', '4047160', '4074419', '3726617', '3853980', '4143937', '4369827', '3884575', '4660909', '4097003', '3753309', '3734735', '4076051', '4579468', '3859894', '4142913', '3753304', '3986978', '4599628', '4646573', '3753303']"
507012761,미소짓게 만드는 산뜻하고 기분좋은 미디엄템포 노래 (상시 업데이트),봄 카페 인디 봄바람 매력적인 커피 사랑 미디엄템포 기분전환 기분좋아지는,5715,"['35802587', '35333036', '36206259', '36266618', '4295943', '36310362', '36290215', '36282445', '36370562', '36184898', '34431934', '30845238', '35909366', '32236451', '34518500', '34497207', '35727937', '32252836', '35504741', '34587210', '36061342', '33513712', '35668852', '35268788', '35371412', '3948905', '35540851', '8170830', '35559595', '35547625', '35333347', '31584299', '34930368', '34927767', '34752700', '34899925', '34978705', '34701954', '34149198', '31241489', '4192787', '34870501', '30851704', '32438894', '4583482', '34225370', '7870706', '35155167', '30696571', '33372785']"
520432487,몸이 먼저 반응하는 90년대 2000년대 메가 히트 댄스곡,댄스 추억 신나는 기분전환 회상 1990년대 2000년대 드라이브 명곡 노래방,1371,"['71606', '78184', '27654', '66964', '191093', '85258', '83190', '104798', '481199', '1322134', '85861', '74289', '482907', '38426', '540535', '84736', '75173', '492268', '425453', '1032605', '78358', '503339', '87307', '1516879', '866710', '733379', '105639', '82633', '69601', '505165', '431614', '19092', '1606430', '430978', '882495', '20226', '91262', '622664', '66362', '32188294', '2323456', '87695', '83326', '48175', '86077', '8921', '26822', '65305', '983247', '64242']"
522919220,언제 들어도 좋은 2010년대 발라드 히트곡,발라드 감성 사랑 잔잔한 기분전환 일상 힐링 휴식 2010년대,1223,"['4142913', '30177818', '32224383', '8102386', '3820647', '3701333', '4019298', '3536905', '30729198', '30169608', '31215747', '30132701', '32251432', '4762446', '5650996', '4639518', '4352438', '8067023', '30714656', '4579468', '31742666', '4399703', '30753213', '5576417', '30349593', '4130820', '4076051', '30970444', '31004503', '30157753', '3884575', '3143550', '31373277', '4381724', '8224585', '30833270', '7877918', '7896511', '30259844', '8148487', '5704397', '32061975', '30884950', '8005879', '31703498', '30550388', '3953192', '31804010', '30669593', '2949854']"
422177447,여행 갈 때 듣기 좋은 기분 업시켜주는 POP,여행 기분전환 팝 산책 드라이브 기분업 매장음악,5180,"['108764060', '36239766', '35777809', '35900503', '34039481', '35375623', '4615896', '33227606', '36142408', '32442260', '31090294', '33366634', '30050050', '35843975', '33325606', '33374926', '34878940', '31852679', '33308443', '33903576', '31626721', '31549966', '30982550', '31094192', '30908551', '31622003', '31736111', '31666777', '33893187', '31077743', '31653098', '106720231', '35861834', '21620570', '32006703', '31933394', '32900575', '33507852', '35018261', '31215668', '34903714', '33652124', '106861376', '30509164', '35220941', '32007538', '36070397', '31069579', '34834629', '34051030']"
496055881,"도입부 듣자마자 하이틴 주인공으로 , 두근두근 pop˖◛⁺⑅",하이틴 신나는 설렘 특별함 과몰입 상큼 청춘 사랑 기분전환 영화,8054,"['32985298', '33602266', '32032663', '34508451', '32966383', '33351887', '31666777', '3906109', '32991576', '3796175', '36236733', '32363831', '33641215', '30502366', '35226169', '33655651', '30292505', '5823882', '31002495', '5480131', '2990830', '4305220', '354635', '33375197', '33040031', '5620569', '34861494', '31835306', '30982550', '33909236', '33674223', '622443', '30294225', '33579089', '32457290', '33841296', '33061623', '33067286', '31627522', '32158554', '32962899', '31077742', '32578396', '34555821', '33582305', '31078182', '31623468', '31050429', '31489255', '32946516']"
496700526,무더위 타파! 듣기만해도 시원한 K-POP 워터파크,아이돌 여름 기분전환 더위 여행 드라이브 신나는 청량감 트로피컬 시원한,1798,"['36467590', '36331122', '30367365', '36245034', '32945216', '36416114', '8244030', '35924309', '36441862', '30512671', '33809352', '35716386', '5700879', '35454426', '36356791', '35640083', '35333345', '35353251', '35714956', '35970582', '36331243', '5768980', '35674994', '5748499', '31244486', '35389041', '35413033', '35493137', '34847378', '35371300', '32112917', '33464805', '33666269', '30997650', '35504734', '30529996', '32907451', '30481578', '33589260', '30720227', '30440812', '8204402', '33335845', '32833393', '8302539', '3440448', '31996468', '31196764', '31856953', '30488203']"
478102836,언제 들어도 신이 나! 기분전환에 제격인 K-POP (상시 업데이트),봄 드라이브 운동 자존감 아이돌 기분전환 청량 노동요 신나는 댄스,13787,"['36416114', '36359275', '36266615', '36430773', '36441862', '36356993', '36391317', '35690857', '36411342', '36423657', '36331121', '36318125', '36391236', '36421738', '36391321', '36374470', '36411347', '36344975', '36338239', '35985167', '36395598', '36381766', '36319261', '36312416', '36110996', '36263564', '36325125', '36137552', '36356998', '36078777', '36352012', '36342693', '36079879', '36266614', '36105548', '36034936', '36269721', '35716386', '35993850', '35846579', '35945927', '35876006', '35924309', '35546497', '35924304', '35931532', '35640077', '36014317', '35730562', '35875407']"
519581692,그 시절 추억의 노래♫♪싸이월드 감성 BGM,싸이월드 추억 회상 기분전환 2000년대 감성 발라드 성시경 임창정 박효신,2185,"['460396', '623902', '1114175', '1500196', '845586', '837567', '1913501', '531840', '1832600', '1135163', '1798588', '529685', '534252', '732512', '19807', '732373', '1833966', '1698598', '1575129', '523088', '500797', '1850253', '1046278', '1177475', '711627', '1125802', '606307', '1797709', '1556553', '866710', '1874397', '1757006', '1190874', '1928055', '2566458', '2705410', '445413', '2544949', '2347151', '985739', '1929329', '9573', '672010', '313563', '2159715', '316434', '420534', '2017349', '1093692', '1521181']"
