plylstSeq,title,tag,like,songIds
419259084,이곡만 있으면 감성힙합 드라이브가능!, #감성 #드라이브 #힙합 #4U #기분전환 #여행 #사랑 #신나는 #겨울 #봄 ,4696,32159598 32479576 33054789 31700065 33096515 33033530 31429050 32159599 30887095 33104785 30541392 31295312 32939046 30835309 33029109 32331774 32698835 32163199 7837787 30317183 32999764 30601144 32224280 31957991 32251835 30065883 30715020 32506646 32075416 30576771 32524975 30555692 30113169 32955254 32325552 31717827 8107687 31025164 2612765 5380328 33027125 32616834 32915886 32650472 31123619 32698837 32671283 31941909 7931720 31906851
479467849,【CITY MOOD】 나만 알 수 없는 시티팝 총 집합, #시티팝 #도시 #야경 #드라이브 #숨은명곡 #레트로 #인디 #퇴근길 #밤 #저녁 ,3843,32424721 31403112 30475930 485727 33421865 32368371 31147300 30982357 32629786 33236421 3617635 31687360 32556391 32326616 30785493 32885386 2951903 30962757 879134 54484 32799148 32858890 32908983 32224130 32860397 32757799 32767815 32762217 32767826 32639886 30916776 32635654 31537782 31007447 32546185 31870737 63270 32685405 32633710 32757962 30982350 32111613 31327212 31113339 32180951 3527286 32766837 32789598 32799149 32513927
453850046,들을 때마다 소오름! 돋았던 인생 드라마 BGM, #드라마ost #명장면 #명곡 #드라마 #OST #bgm #추억 ,4878,32491274 32345931 32378104 32614125 32377231 32315692 32254643 32290696 32361098 32298623 32398899 32282894 32271337 32075935 31938460 31486544 623902 30190630 4475933 2319548 2045749 7942948 31016243 32364000 31478849 5519401 8094482 31329245 855659 2759248 530043 3573088 1480112 848156 1798588 1093692 5519400 3118259 1335334 1928055 2357938 8152693 8203900 1785914 1668392 1565724 1175028 4454368 2170750 30985406
438695292,《 듣기만 해도 설레는 》, #기분전환 #사랑 #설렘 #행복 #OST #크리스마스 ,3548,31713574 31713575 30667249 30667250 30659579 30720237 5794746 34657844 34771039 34845027 33375794 35199704 36061343 33979356 34087186 4141803 4143937 4665220 30141717 30141734 35361345 34140397 34772475 34772480 4774996 8098474 7983803 32996567 33013574 33079286 34930368 34559062 34559063 8197305 5694907 35521284 33527705 33517367 33526809 30370032 33391156 33391157 31628918 33485773 33494706 32083486 32100582 34343196 34265094 31124689
422815760,다시 들어도 좋은 발라드 명곡!, #추억 #회상 #밤 #새벽 ,1696,81713 3964142 524757 2663168 3403988 1622996 1092546 530124 3112955 2102150 2425271 2194548 1808162 519620 905587 505376 2546848 4023744 2425149 2319548 2194773 2544949 1879332 2119816 2289924 1890405 1841036 1928051 1918284 1932515 1923548 2019681 2566853 1456717 732373 1615770 848804 2621349 530122 91322 421409 430228 445413 429656 454477 460396 62619 111413 500797 432269
413424851,가사가 예뻐서 하루종일 생각나는 노래들, #밤 #새벽 #휴식 #힐링 ,6554,34819473 31649844 32814662 32074818 30378156 31033467 33967985 35192393 1881823 827580 31666410 8213793 35418221 622664 31477516 5579395 33939315 34094200 34752772 31385744 33661260 490173 81013 32081871 32997761 31324607 32091223 33997296 33333876 30176582 30973998 33027162 30839312 31314142 31893681 33333999 33660021 30616707 31104178 5671555 8249047 32491274 31341517 1907246 31329022 32055994 30942934 1868211 31666417 5702706
100107421,피아노 소리가 좋은 음악들♡, #피아노 #피아노소리 ,2021,27518542 1756995 1757006 1975062 1872538 600566 9948 1793405 1778548 38953 488419 2517772 2384246 1784889 623472 1536368 888201 1622996 978136 2596149 81713 1095261 2140950 1107022 1764208 508411 470488 1884223 1934876 2303677 1990705 852759 899285 9828 1901874 1119322 1764204 1442215 19714 1648037 1467722 1650492 1654821 1771029 2534948 1606155 1827494 2214171 1876466 1931595
494283599,90년대생들이 MP3에 넣고 다녔던 남자 발라드, #90년생 #00년대 #발라드 #감성 #추억 #OST #이별 #사랑 #기분전환 #락발라드 ,8330,1177939 1837529 429656 534252 2017349 602168 83410 419762 1590172 313556 1125314 848804 530124 1086029 2397 8302 686651 1592906 505539 1846941 1898154 104184 1003080 1136827 485444 1749118 104108 9828 474113 2109549 1108590 863660 732512 477120 1944399 851279 524216 106244 2549955 534951 866714 2575587 538118 3910821 482651 1093693 1589050 1459449 1797707 18357
401319688,추억이 가득한 노래들(95~04), #추억 #회상 #비오는날 ,1500,1177976 507481 518619 2025249 528529 499230 600942 519620 507874 530043 530122 529685 531431 534003 524216 519280 522845 420522 482653 481199 447863 488135 444956 609381 417893 486743 191093 316434 62619 500797 103858 432269 619078 489252 430051 317027 432824 503111 862035 106244 106240 431618 19807 32574 1213165 8302 105886 24105 21360 8921
508130972,"늦은 새벽, 지친 당신에게 건네는 7080의 은은한 위로", #7080 #위로 #새벽 #지친 #지칠때 #힘들때 #옛날음악 ,44,1047566 3438954 1418635 622705 520391 1264004 4095730 492805 57787 3560411 2274395 1314717 52441 30596120 863026 91322 4350117 3448452 68932 62614 1969642 608281 2743748 1047561 461989 1314276 54527 520837 3080890 54856 30258873 4067772 8228487 1660732 50627 2274387 5758532 50816 81240 2036548 990055 1768549 49829 3898356 4350114 1839488 48560 612068 49779 47130
100109774,여자가 속삭입니다..남자도 속삭이네요..., #발라드 ,1726,1467735 2678083 1608312 1205570 1579228 1623066 2016049 1757000 1804399 521706 3159987 1520204 1934558 2379050 2949854 2983725 2566458 1992457 2680561 2240848 1804276 2322750 111619 845609 1923447 81940 1930261 1560052 1804409 1916351 1002851 2315780 441284 1844751 1502238 1631944 1126289 1769292 2104553 83500 441222 1142063 1415461 1930003 1762069 1205566 2587949 1908232 1590174 68712
450604834,한화이글스 응원가, #응원가 #신나는 #웅장함 #스트레스 #응원 ,17,31775220 31775221 1325179 31157689 4710904 4711007 3146162 7969895 1611798 1125935 8148587 4564373 2515281 4621909 1996351 3146166 2640078 1936754 4180300 4004023 4400293 5781730 503258 2192605 5818522 2092100 91254 4465224 431288 172960 30859584
422381081,아름다운 전설의 80년대 노래들 (7080), #추억 #80년대 #7080 #감성 #감미로운 #회상 #취향저격 #명곡 #가을 #위로 ,1977,188687 992648 2514771 2506705 47404 3606958 2522241 76723 1551813 1074365 3631736 57618 1017063 48523 50816 529091 1017208 990055 60876 47069 1110886 59175 1768643 48560 47408 1839490 932466 529099 53086 608223 1003617 30152178 1143780 1074345 47283 1418635 5758524 4796127 1110890 47811 67137 59173 1314717 1110888 47068 2507541 52445 1839485 1143768 1074359
101606756,Workout: 다이어트 성공률 올리는 운동 BGM, #운동 #헬스 #신나는 #런닝 #기분업 #팝 #EDM #그루브 #흥겨운 #홈트 ,14153,36394195 36341161 36330740 36378070 36268959 36309013 36285782 36286997 36285692 36235359 35142187 36077882 36078040 36052734 36078243 36034867 36051780 36151144 35736956 35926552 35964495 35913607 35823669 35873444 35818910 35951704 35801893 35884406 35860807 35905912 35901552 35559142 35589162 35670663 35794595 35709380 35622506 35564557 35520838 35516283 35535285 35256327 35155359 35445573 35072135 35421768 35281853 35319454
460454141,[시대별차트] 1972년 국내차트, #시대별차트 #국내차트 ,7,31568904 54313 4027654 1124134 2425253 1661316 1767914 4024004 8110835 1632355 5744355 51313 1124711 1125839 1004592 3599588 111317 1003617 194116 49337 48204 3622214 989478 1124649 1550175 3486208 608075 47173 622473 3618896 1713585 91031 3486209 3376749 2467956 3621690 47168 2467963 1124963 1569466 1931245 1124693 4196824
438230238,신나는 템포의 7080 가요모음, #70년대 #포크음악 #80년대 #신나는 #신나는음악 #포크송 #대학가요제 #7080 #카페 #사이키델릭 ,570,176024 976287 986978 52958 1008920 3621515 3027093 1714363 52856 538276 91191 1588393 531357 3621521 30152710 48072 3652053 76749 76723 1324476 4496094 7889312 1054752 76693 1685535 2522244 31197569 50148 1551803 526758 1073389 31535763 1028306 987051 50149 1105150 52886 1028281 445859 30458131 2507126 1028300 4344560 5647729 1028286 1028057 4060901 3152948 1186598 5758316
425722559,2002~2007년 공중파 음악방송 역대 1위곡, #추억 #역대1위곡 #회상 #감성 #발라드 #댄스 #신나는 #잔잔한 ,2807,317027 105886 417924 608151 447863 429656 159406 419995 486743 601992 1478189 1173448 452849 430125 1123711 927047 1493039 507874 1094161 619078 1772218 1592995 481199 1569649 1724693 608863 528529 1325050 432269 1266158 866710 845580 1807098 528530 1756965 1563237 1727368 431618 4299165 423629 837567 519620 529685 1454808 111413 1459449 536317 981455 191093 1194316
422314785,새벽감성 폭발시킬 힙발라드, #감성힙합 #새벽 #새벽감성 #힙발라드 #힙합 #RnB #국내힙합 #침대안이어폰 #싱숭생숭 ,7147,4416151 2612767 3559916 3665143 3906383 8109412 8143111 30132701 3364510 9648724 8129245 5476552 3354480 3948918 1850253 7999021 4832150 5678792 30063772 3665147 3843570 3922586 8109414 8034004 5657054 7858908 4061513 8120663 5421427 4160250 1914208 5415175 4674347 8271367 8261336 1932604 4749304 5431071 8271363 4317286 1851924 4226210 7895866 5421429 8026677 5824769 5725359 5421434 5757064
101559002,nice, #휴식 #잔잔한 ,787,18029 23896 47408 66411 66412 66413 66414 66415 66416 66417 66418 69347 81944 90236 104889 106171 106172 242859 261063 265331 266971 273123 289469 325945 325950 325951 325959 342269 342270 342272 342273 342274 342275 342276 342277 342278 342279 385432 385903 402915 414621 432308 455208 458377 478491 486930 511804 513837 517297 525064
413850463,옛날부터 모아온 감성발라드 114곡 모음, #발라드 ,6116,4639518 485716 2425271 905857 4261503 1850253 3743329 4246962 3038391 3929471 4021279 4579474 3860287 5458267 623902 3973781 2194773 4296990 851748 3446888 3895885 505376 85108 4212782 1454811 1560051 2697459 5807274 2933662 418253 1088419 500797 851429 1961451 521709 1068643 2017265 1114175 4262132 4543502 1654819 1890405 421411 1650189 1114180 7861392 1654858 1778667 1654868 2126448
415654431,노래방 애창곡&추천곡(여자), #노래방 #기분전환 #스트레스 #추천곡 #여자 ,4051,34270805 418168 34481680 30117119 31486544 3118487 2930968 3509751 34101563 33725775 33372781 33239419 3625504 33405149 33527705 33061995 3337496 2710613 844268 844267 2710608 622742 1213093 1927922 104868 91380 1634717 434507 492854 517889 517087 104648 1984780 418645 418070 2908275 2012252 1365705 3414749 32525311 1975483 3114672 30851703 3620973 1764208 5496835 2126448 3859894 30657311 30657307
419977882,최신트로토모믐집(신곡포함됨), #트로트 ,122,5662638 9603147 5381256 3962160 8218214 8221608 8222280 4736261 5671017 5635116 8179405 8038459 8021660 8011649 8265653 8309990 8027791 8304470 8151533 1910790 1604667 2247763 2975591 2068676 3824744 7863342 7977028 3762443 5519632 430515 1138416 5600190 3968645 3522957 4142236 3406207 4591543 3754548 3619675 1924083 4661551 4126885 3930695 7887663 4064589 4393978 4731854 4510710 3932476 3890515
457813946,"변하지 않는 감동, 포크/블루스 에센셜", #포크 #블루스 #국내포크 #국내블루스 #스트레스해소 #인기 #명곡 #추억 #회상 #에센셜 ,264,986896 48180 1767911 1660732 4023366 1848183 4403969 4117093 505125 1768549 2036548 622473 529091 74563 5758532 2981576 54856 104545 10689 53060 987855 874788 1719746 1106160 2004661 30047573 7900086 5468678 3378306 2343466 3627948 8108291 5431283 50627 4317449 3136472 3894276 32003395 30290580 30260502
405377396,그대와 함께 듣고 싶은 곡들, #사랑 #설렘 ,24,1510411 4646572 2255158 5535920 1647788 4275834 1970784 5381260 4344560 2650422 3691088 91387 611673 47408 3620726 467409 51431 38461 4044859 1054792 903231 501482 2118341 1077258 81123 611319 1047566 5512083 5515283 5518884 5534026 5536206 5437322 5475551 1797705 3833289 1047561 1574694 62465 833116 1621115 992661 73737 105125 65440 38426 518619 1958819 175799 4389943
438707272,교복 자율화 시대 속 인기 아이돌, #추억 #아이돌 #가요 #1970_80 #1980년대 #자유 #명곡 #회상 #10대 ,783,1551813 1017063 5630960 3403922 48478 33185722 2518993 189686 1551799 1017068 1549532 1032684 3619713 2509669 4344560 52942 1551803 91135 1003297 4689474 76683 1549504
472537695,추억의 성인가요 1974, #1974 #추억 ,26,3590682 989478 3997709 3997644 989481 30149831 30150753 3997717 3742058 90370 1139809 4024571 4024732 4024741 4024569 194515 2249652 720458 30987606 54059 54313 30080105 30010357 2425142 4008403 3592827 3606178 30152064 4024021 4024015 997835 31618219 5617161 5812395 49342 30072294 5617155 58900 525816 4023370 4023375 4023380 4023367 4023368 4023366 456759 30151479 4615237 30151477 5395731
419323666,선곡고민 No! 신나게 듣는 8090 가요모음, #신나는 #가요 #기분전환 #추억 #드라이브 ,2668,83721 91310 91534 70602 37571 83326 667071 505165 79740 91245 176479 91487 83181 30367493 65305 62462 91396 85258 70896 82633 827933 430978 983247 91264 1017063 52185 1606445 482498 8921 2607155 91374 986980 1140592 87307 1003297 57634 38426 91309 87695 74372 57519 83208 54376 81013 1555096 3619262 83471 57618 188293 32616
453063534,떠나가는 2022년… 우리에게 던지는 질문들, #2022 #위로 #2023 #안녕 #연말 #감성 #새해 #생각 #밤 #혼자 ,2904,1110890 2013253 61490 2658541 32698889 5408681 31296960 31495751 1121060 30985406 1047561 32318751 437146 454477 38793 32813422 30447615 1476938 4635701 3780500 33162610 1839747 5549393 4369834 34329548 72689 5503347 52004 71502 5644089 5684459 9608268 61776 3815039 3047052 2118199
460454156,[시대별차트] 1986년 국내차트, #시대별차트 #국내차트 ,15,1138841 48562 2467994 81122 1104576 175164 7889312 70828 1878134 48362 60162 1573429 1032963 70840 2036561 175171 1185199 1052222 1839485 1091184 1028300 2507126 1839486 5806470 976282 1002461 863454 1750054 1127244 1505608 48363 1073401 1139803 72776 51148 1073395 2608657 1028283 51426 1054000 1080815 2228307 32263313 65380 1726827 2909257 842547 529092 1874917 5806468
455964959,[The Essential Collection] 발라드, #발라드 #명곡 #국내 #인기 #추억 #회상 #향수 #에센셜 ,1467,418253 638570 8302 30017607 3910821 30486509 30962526 2544949 2347151 8203900 538118 1798588 3560411 47130 48360 61500 1110886 58150 1563237 2025249 460396 1944399 32061975 499230 1010296 106212 30190630 1719746 91114 1418635 52515 33206 49933 49552 1874917 52441 188114 1114175 8089568 2425271 2319548 529685 38651 78002 83437 452397 5400360 1108584 1804274 19091
100129368,♥들어도 들어도 좋은노래♥, #발라드 ,6230,2109952 2223050 1614346 1671660 111615 1524211 2745183 1727623 860581 1115207 1858074 429854 2334208 1875799 510794 1492525 1645091 518094 985478 2733251 1502237 2967768 1145088 2109951 1077392 1492287 997301 1754586 2793076 1028266 1646651 1896448 897930 2109949 2782664 1646653 1575132 2159384 2555049 1646647 481194 1574696 1742139 2523764 2774967 2953350 3018898 2697459 2194548 419638
520469705,23년 1월에 들은 노래, #1월1일 #겨울 ,18,35826847 35945927 35874234 35891501 35920493 35904515 35948435 35908882 35957064 35876005 35874404 35917859 35918461 35918593 35915142 35252996 35828366 35932815 51934 35975682 36024297 419131 35925606 38919 482498 5472140 36047499 31495754 35946841 35944187 35959867 35959868 35960072 35959645 35956104 35957807 4212792 482490 91110 35980920 35980795 35980784 35980817 35980921 36008986 36046250 35553820 35955717 35950110 3975504
436623595,"매듭의 계절, 12월이 되면 떠오르는 여러가지 감정들", #12월 #겨울 #크리스마스 #휴식 #회상 #감성 #카페 #따뜻한 #싱숭생숭 ,5260,32240554 3610153 35828604 30383766 32235310 35788506 35669445 1756997 31478848 4399702 4347674 35754709 4333791 34448347 30810765 31624517 48914 32275159 8174720 32258456 19807 30178900 30019710 35849938 32222203 32180955 32061981 30378164 1771028 32081871 30087589 30419668 111209 30784187 31967064 30290580 33054919 33122449 31412396 31481850 4365747 30770702 31499262 5465139 30789567 30753021 9646572 30259844 32135661 32243386
522130349,"엘레지의 여왕, 이미자와 함께 하는 트로트 여행", #엘레지의여왕 #국민가수 #이미자 #트로트 ,4,4381519 36095421 4172360 36065180 1002892 34431699 84468 36248077 4673030 36206089 5439925 34938990 4172349 35635889 1125680 35336412 3774693 35675705 7931762 35690119 3832613 35702664 3599696 35732437 3663098 35969932 4673020 35915673 7931783 35947649 3599733 35690114 1003681 35445922 5472652 34928460 3738384 34984802 3599734 36012936
101586975,감성 힙합/알앤비 종결!, #랩 #힙합 ,8269,4827130 5478275 5826658 3599484 5572312 5674416 4102587 3948910 3832079 3777042 3994825 5546828 3480157 3846771 4150610 3599069 4576046 4765619 3835101 3538775 3843563 3843570 4664910 4692924 5522985 2618749 2223050 4081056 3385862 2634070 2733253 5582149 4790922 3013209 2573757 3520743 2989351 2603750 4832150 5387875 4645251 4166716 3843566 5467463 5467464 844134 844138 3590821 4626100
408760337,자기전 생각이 많을때, #밤 #새벽 #비오는날 ,7678,5648489 5713468 4665827 8235260 8241796 7877316 9625821 5620735 8104411 3165424 5524037 5608699 4160436 5714695 4736613 5793217 4337744 4317441 4738685 8033451 7838906 7985298 3423253 7995544 8015532 7953397 7888413 5418301 7857091 4762371 4365747 7995561 7896511 7887562 7913100 5400365 3940684 1764613 5570938 7880306 4665892 4446479 4333791 4738686 7877918 7846182 3174567 7858989 5466973 5460305
425653212,"산울림 김창완의 사이드 프로젝트, 꾸러기", #김창완 #산울림 #락 #국내록 #legend #프로젝트 #꾸러기 #밴드 #히트곡 ,43,176173 1009195 77266 3953127 1185199 83201 4542613 188664 995702 80261 1314281 3953133 4542610 80259 995701 53794 1314276 4310871 995707 2017448 49739 3953128 80265 58496 83200 80269 1009190 4542616 80264
455359115,명곡만 쏙! 90년대 발라드, #가요톱텐 #1990년대 #발라드 #인기 #추억 #회상 #명곡 #과거 #향수 #에센셜 ,2296,61829 1876466 61245 57339 53615 463542 64025 33206 1719746 62098 50313 1695858 49933 1847750 83803 611573 1139375 69198 3403849 51431 64942 61500 1878583 49552 49838 45926 91114 1839641 38651 1622512 68743 38030 85707 38585 68902 70148 1022090 2330779 1877126 451833 37989 63699 82070 83437 1816948 1517335 62458 81713 1177976 70486
100098421,국민가수! 패티김 50주년 과 조용필 40주년, #발라드 ,208,934936 528054 934942 528030 1005255 1524275 1524326 1524340 934939 1005267 934934 528031 1524329 528028 528042 1524273 1524300 1524343 934940 1005258 1524312 528041 1524278 1524337 1524318 1524310 1005261 1524271 1524306 1524298 1524297 1524345 1524311 1524314 528029 1524320 1524335 528039 1005254 1524294 1524305 528050 528027 934943 528026 528051 528035 1524276 1524265 528044
446896068,트로트가듣고싶을때, #트로트 #성인가요 ,14,2249744 52146 5454675 5380526 4182990 33138069 32180563 32492851 2706683 2249743 33018740 2249724 2249731 2249727 32128844 1874917 533378 4648269 32457750 32615705 32397381 30299276 1125963 1121190 65137 833056 833072 2249710 2243696 2243716 2243735 30876307 3338348 3338349 3338356 3338350 1124691 1003567 1003563 3485092 3592821 677578 1005538 2254124 73294 3622673 4183001 4182993 4182998 81122
412498507,○ 히든싱어 시즌 4 ○, #추억 #회상 #기분전환 ,554,732512 537750 1944399 73338 1095261 7908925 418598 7899062 500962 52442 1177475 1140592 38587 711626 612040 316784 69518 47404 52451 52445 47405 52441 1828863 1745402 1828864 47408 47403 91395 47407 4677340 418603 4340421 4677342 418600 4044859 1894290 2667088 2667090 2511579 905583 905592 1826467 537749 4674336 905587 418596 904638 10126 1136334 519290
508143532,그 시절 부모님들의 LP판에서 흘러나오던 노래 (7080), #7080 #청춘 #부모님 #70 #80 #추억 #레트로 #감성 ,69,2228298 833184 611183 31568904 60739 51308 51777 51776 3354836 64065 2425253 1767912 1105105 1074345 5684137 1767914 47283 989477 1632356 65440 91387 48212 1767911 1573619 2467839 66149 1713590 1003543 53177 1008359 1124711 1009254 47978 1574110 47114 1003617 2520607 2215163 51320 1573393 1125814 48204 2521468 989478 2531474 1124649 1642348 903231 1726836 1125953
417639180,질리지않는 2000년대 명품발라드 모음., #추억 #2000년대 #발라드 #감성 #사랑 #이별 #밤 #드라이브 ,19789,1944399 429656 2025249 19807 495147 482653 86166 496573 3824 1264830 106244 111208 420424 445413 490201 521068 2596149 4458960 420520 852759 1575129 1033126 1114175 1765866 418598 1190874 496377 732519 536962 83093 696849 1576735 848804 106240 37004 104184 447863 686651 9828 732373 2270749 315312 85674 526391 420534 1580618 534252 9573 524216 534951
425652889,"포크의 추억, 이정선과 해바라기", #이정선 #해바라기 #가요 #포크 #추억 #회상 #명곡 #솔로곡 ,41,1004016 1074993 1080162 1768553 1091194 64076 1004007 1002062 2522274 1725900 1138841 1768554 1004014 1074996 49779 1106166 1002054 65652 64077 1004015 1002061 2524020 1138843 1725902 1002060 1004023 65653 1725899 48180 1138814
472544088,꽃을 의떤 의미로 표현했을까?..꽃명이 곡명인 노래들, #꽃 #곡명 #꽃명 #봄 #기분전환 ,42,31704036 30720477 481562 31850353 32087592 31123619 2974750 4374767 3684465 47084 2678090 455106 31554809 3450190 31146961 3865092 1086476 1114172 30241447 4066840 5492001 5785001 3946736 32339885 32369471 860583 526761 30540074 2537464 3791293 30561640 30962930 4024574 31706345 1956455 2299480 1130740 2718961 4040875 31731084 5397393 2288058 4021279 31370252 4044859 52881 1884224 31563407
439683766,노래방에서 질질 짰는데ㅠ 90년대 남자 록발라드 (국내), #록 #발라드 #1990 #90년대 #락발라드 #고막남친 #추억 #음색깡패 #고음 #노래방 ,3793,851719 3680 82424 73737 71992 30596120 79964 3793378 38667 38757 78647 79953 37832 75233 4262739 38388 53619 85674 84845 55991 83891 91475 38587 88920 3052442 8034220 69323 69302 74516 1816948 80392 38662 45926 55986 59078 53615 2992724 1876466 69343 63699 2270749 33876 67832 38651 49933 91418 1622501 2339828 32488 72322
482195708,매년 가을이면 떠오르는 아련한 감성의 Music ♪, #가을 #감성발라드 #발라드 #감성 #추억 #아련한 #초가을 #OST #드라이브 #기분전환 ,2335,36431069 35669445 7886210 31343875 35828604 30709103 3929471 31314144 34171029 35707232 7926120 35724027 35831250 35708019 34097306 32127914 5408681 3542874 1757000 1467722 511813 35662924 1590153 30636089 30486509 2312253 8114712 3968836 35643013 4586092 30468654 2064849 32090955 423629 993956 3931560 30278209 5458267 33088701 1890405 5465066 3403988 4162725 3552165 8200966 19811 3815039 665226 32799210 33996404
